nums,country
0,USA
1,USA
2,USA
3,USA
4,USA
5,USA
6,USA
7,USA
8,USA
9,USA
10,USA
11,USA
12,USA
13,USA
40,Germany
41,Germany
42,Germany
43,Germany
44,Germany
600,South Africa
601,South Africa
690,China
691,China
692,China
90,Austria
91,Austria
30,France
31,France
32,France
33,France
34,France
35,France
36,France
37,France
80,Italy
81,Italy
82,Italy
83,Italy
471,Taiwan
477,Lithuania
482,Ukraine
486,Georgia
49,Japan
528,Lebanon
535,Malta
560,Portugal
590,Poland
613,Algeria
625,Jordan
73,Sweden
742,Honduras
746,Dominican Republic
76,Switzerland
775,Peru
780,Chile
786,Ecuador
84,Spain
859,Czech Republic
87,Netherlands
888,Singapore
899,Indonesia
94,New Zealand
45,Japan
474,Estonia
479,Sri Lanka
484,Moldova
487,Kazakhstan
50,United Kingdom
529,Cyprus
539,Ireland
569,Iceland
594,Romania
609,Mauritius
619,Tunisia
626,Iran
70,Norway
740,Guatemala
743,Nicaragua
750,Mexico
770,Colombia
777,Bolivia
784,Paraguay
789,Brazil
850,Cuba
860,Yugloslavia
880,South Korea
890,India
955,Malaysia
46,Russia
475,Latvia
480,Philippines
485,Armenia
489,Hong Kong
520,Greece
531,Macedonia
54,Belgium
57,Denmark
599,Hungary
611,Morocco
622,Egypt
64,Finland
729,Israel
741,El Salvador
744,Costa Rica
759,Venezuela
773,Uruguay
779,Argentina
785,Peru
858,Slovakia
869,Turkey
885,Thailand
893,Vietnam
93,Australia
