country,chemical
Antigua and Barbuda,Organo-Phosphates
Antigua and Barbuda,Carbamates Insecticides
Antigua and Barbuda,Pyrethroids
Antigua and Barbuda,Botanic.Produc&Biologic.
Antigua and Barbuda,Triazines
Antigua and Barbuda,Amides
Antigua and Barbuda,Carbamates Herbicides
Antigua and Barbuda,Dinitroanilines
Antigua and Barbuda,Urea derivates
Antigua and Barbuda,Sulfonyl Ureas
Antigua and Barbuda,Bipiridils
Antigua and Barbuda,Uracil
Antigua and Barbuda,Inorganics
Antigua and Barbuda,Dithiocarbamates
Antigua and Barbuda,Benzimidazoles
Antigua and Barbuda,Anticoagulants
Argentina,Plant Growth Regulators
Azerbaijan,Organo-Phosphates
Azerbaijan,Pyrethroids
Azerbaijan,Mineral Oils
Azerbaijan,Phenoxy Hormone Products
Azerbaijan,Dinitroanilines
Azerbaijan,Urea derivates
Azerbaijan,Sulfonyl Ureas
Azerbaijan,Inorganics
Azerbaijan,Dithiocarbamates
Azerbaijan,Benzimidazoles
Azerbaijan,"Triazoles, Diazoles"
Azerbaijan,Dithiocarbamates-SeedTrF
Azerbaijan,Benzimidazoles-SeedTrF
Azerbaijan,Triazoles diazoles-SdTrF
Azerbaijan,Plant Growth Regulators
Azerbaijan,Anticoagulants
Chile,Plant Growth Regulators
"China, Hong Kong SAR",Organo-Phosphates
"China, Hong Kong SAR",Carbamates Insecticides
"China, Hong Kong SAR",Pyrethroids
"China, Hong Kong SAR",Botanic.Produc&Biologic.
"China, Hong Kong SAR",Phenoxy Hormone Products
"China, Hong Kong SAR",Bipiridils
"China, Hong Kong SAR",Dithiocarbamates
Costa Rica,Organo-Phosphates
Costa Rica,Carbamates Insecticides
Costa Rica,Pyrethroids
Costa Rica,Botanic.Produc&Biologic.
Costa Rica,Phenoxy Hormone Products
Costa Rica,Triazines
Costa Rica,Amides
Costa Rica,Carbamates Herbicides
Costa Rica,Dinitroanilines
Costa Rica,Urea derivates
Costa Rica,Sulfonyl Ureas
Costa Rica,Bipiridils
Costa Rica,Uracil
Costa Rica,Inorganics
Costa Rica,Dithiocarbamates
Costa Rica,Benzimidazoles
Costa Rica,"Triazoles, Diazoles"
Costa Rica,"Diazines, Morpholines"
Costa Rica,Plant Growth Regulators
Costa Rica,Anticoagulants
Costa Rica,Disinfectants
Czech Republic,Plant Growth Regulators
Denmark,Plant Growth Regulators
Ecuador,Chlorinated Hydrocarbons
Ecuador,Organo-Phosphates
Ecuador,Carbamates Insecticides
Ecuador,Pyrethroids
Ecuador,Botanic.Produc&Biologic.
Ecuador,Phenoxy Hormone Products
Ecuador,Triazines
Ecuador,Dinitroanilines
Ecuador,Urea derivates
Ecuador,Sulfonyl Ureas
Ecuador,Bipiridils
Ecuador,Uracil
Ecuador,Inorganics
Ecuador,Dithiocarbamates
Ecuador,Benzimidazoles
Ecuador,"Triazoles, Diazoles"
Ecuador,"Diazines, Morpholines"
Ecuador,Plant Growth Regulators
Ecuador,Anticoagulants
Estonia,Plant Growth Regulators
Finland,Organo-Phosphates
Finland,Carbamates Insecticides
Finland,Pyrethroids
Finland,Botanic.Produc&Biologic.
Finland,Mineral Oils
Finland,Phenoxy Hormone Products
Finland,Triazines
Finland,Amides
Finland,Carbamates Herbicides
Finland,Dinitroanilines
Finland,Urea derivates
Finland,Sulfonyl Ureas
Finland,Bipiridils
Finland,Dithiocarbamates
Finland,Benzimidazoles
Finland,"Triazoles, Diazoles"
Finland,"Diazines, Morpholines"
Finland,Plant Growth Regulators
French Polynesia,Organo-Phosphates
French Polynesia,Carbamates Insecticides
French Polynesia,Pyrethroids
French Polynesia,Botanic.Produc&Biologic.
French Polynesia,Mineral Oils
French Polynesia,Phenoxy Hormone Products
French Polynesia,Triazines
French Polynesia,Carbamates Herbicides
French Polynesia,Dinitroanilines
French Polynesia,Urea derivates
